Area,Item,Year,Area_harvested,Yield,Production,Production_log,encoded_area,encoded_item
Afghanistan,"Almonds, in shell",2019,29203.0,1308.3,38205.0,10.550747850323598,0,2
Afghanistan,"Almonds, in shell",2020,22134.0,1775.9,39307.0,10.579183339482318,0,2
Afghanistan,"Almonds, in shell",2021,36862.0,1743.2,64256.0,11.070645946239251,0,2
Afghanistan,"Almonds, in shell",2022,36462.0,1742.0,63515.0,11.059047121645987,0,2
Afghanistan,"Almonds, in shell",2023,37000.0,1810.8,67000.0,11.112462823634855,0,2
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,25293.0,704.1,17807.76,9.787445750053008,0,3
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,25558.0,703.0,17965.9,9.796286455157635,0,3
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,25357.0,705.0,17876.49,9.791297658560067,0,3
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,25403.0,704.0,17883.38,9.791682985171079,0,3
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,25439.0,704.0,17908.59,9.793091602553753,0,3
Afghanistan,Apricots,2019,17719.0,7300.8,129363.0,11.770385415232424,0,5
Afghanistan,Apricots,2020,17481.0,7538.9,131788.0,11.788957437780025,0,5
Afghanistan,Barley,2021,40273.0,1616.5,65102.0,11.083725910084183,0,12
Afghanistan,Barley,2022,61952.0,1528.4,94687.0,11.458342555199936,0,12
Afghanistan,Figs,2019,3529.0,6891.2,24319.0,10.099054336080103,0,46
Afghanistan,Figs,2020,3219.0,4968.6,15994.0,9.680031452383618,0,46
Afghanistan,Figs,2021,10077.0,5929.9,59755.66,10.998035928017204,0,46
Afghanistan,Figs,2022,9787.0,5929.9,58035.99,10.968835844867643,0,46
Afghanistan,Figs,2023,10228.0,5929.9,60651.09,11.012909373794951,0,46
Afghanistan,Linseed,2019,38323.0,1435.2,55000.0,10.915106645867503,0,69
Afghanistan,Linseed,2020,31089.0,1100.6,34216.0,10.440477875572727,0,69
Afghanistan,Linseed,2021,31329.0,994.8,31165.0,10.347083036005559,0,69
Afghanistan,Linseed,2022,31605.0,904.3,28579.0,10.260462451483859,0,69
Afghanistan,Linseed,2023,35000.0,828.6,29000.0,10.275085591132715,0,69
Afghanistan,Millet,2019,1401.0,1937.2,2714.0,7.906547232368036,0,76
Afghanistan,Millet,2020,1437.0,1318.7,1895.0,7.547501682814967,0,76
Afghanistan,Millet,2021,979.0,1583.2,1550.0,7.346655163176539,0,76
Afghanistan,Millet,2022,1213.0,1577.1,1913.0,7.5569505720129,0,76
Afghanistan,Millet,2023,1142.0,1597.9,1824.12,7.509401017279588,0,76
Afghanistan,Mustard seed,2019,1691.0,1005.3,1700.0,7.438971592395862,0,78
Afghanistan,Mustard seed,2020,1457.0,890.9,1298.0,7.1693500166706,0,78
Afghanistan,Mustard seed,2021,1074.0,1060.5,1139.0,7.038783541388542,0,78
Afghanistan,Mustard seed,2022,1206.0,1223.1,1475.0,7.297091005160418,0,78
Afghanistan,Mustard seed,2023,1000.0,1000.0,1000.0,6.90875477931522,0,78
Afghanistan,Olives,2019,2206.0,3593.7,7926.57,8.978101836395593,0,84
Afghanistan,Olives,2020,2208.0,3633.3,8021.47,8.990001633494316,0,84
Afghanistan,Olives,2021,2207.0,3477.7,7676.13,8.946001058382585,0,84
Afghanistan,Olives,2022,2207.0,3503.0,7730.68,8.95308145302584,0,84
Afghanistan,Olives,2023,2207.0,3527.1,7785.23,8.960112067934457,0,84
Afghanistan,Oranges,2019,973.0,6172.8,6006.18,8.700710699442004,0,87
Afghanistan,Oranges,2020,415.0,7231.3,3001.0,8.007034012193408,0,87
Afghanistan,Oranges,2021,1782.0,6718.5,11972.44,9.390446142394312,0,87
Afghanistan,Oranges,2022,1825.0,5814.4,10611.25,9.269764273216099,0,87
Afghanistan,Oranges,2023,1242.0,5946.8,7385.04,8.907347011049076,0,87
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2019,6117.0,4803.7,29384.09,10.288242681829196,0,89
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2020,6396.0,4342.1,27772.0,10.231819604714468,0,89
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2021,8376.0,4006.8,33560.6,10.421137835249217,0,89
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2022,8021.0,4099.7,32883.72,10.400763391178904,0,89
